forecast_time,temperature,fetch_time,location
2025-07-21 17:00:00,26.6,2025-07-19 11:01:20.480093,Bangkok
2025-07-21 17:00:00,25.8,2025-07-18 23:57:23.673583,Bangkok
2025-07-21 16:00:00,26.0,2025-07-18 23:57:23.673583,Bangkok
2025-07-21 16:00:00,27.0,2025-07-19 11:01:20.480093,Bangkok
2025-07-21 15:00:00,26.3,2025-07-18 23:57:23.673583,Bangkok
2025-07-21 15:00:00,27.3,2025-07-19 11:01:20.480093,Bangkok
2025-07-21 14:00:00,26.6,2025-07-18 23:57:23.673583,Bangkok
2025-07-21 14:00:00,27.7,2025-07-19 11:01:20.480093,Bangkok
2025-07-21 13:00:00,28.0,2025-07-19 11:01:20.480093,Bangkok
2025-07-21 13:00:00,27.1,2025-07-18 23:57:23.673583,Bangkok
2025-07-21 12:00:00,27.6,2025-07-18 23:57:23.673583,Bangkok
2025-07-21 12:00:00,28.7,2025-07-19 11:01:20.480093,Bangkok
2025-07-21 11:00:00,29.7,2025-07-19 11:01:20.480093,Bangkok
2025-07-21 11:00:00,28.4,2025-07-18 23:57:23.673583,Bangkok
2025-07-21 10:00:00,30.4,2025-07-19 11:01:20.480093,Bangkok
2025-07-21 10:00:00,29.2,2025-07-18 23:57:23.673583,Bangkok
2025-07-21 09:00:00,29.7,2025-07-18 23:57:23.673583,Bangkok
2025-07-21 09:00:00,30.4,2025-07-19 11:01:20.480093,Bangkok
2025-07-21 08:00:00,30.2,2025-07-19 11:01:20.480093,Bangkok
2025-07-21 08:00:00,30.2,2025-07-18 23:57:23.673583,Bangkok
2025-07-21 07:00:00,29.9,2025-07-19 11:01:20.480093,Bangkok
2025-07-21 07:00:00,29.4,2025-07-18 23:57:23.673583,Bangkok
2025-07-21 06:00:00,28.8,2025-07-18 23:57:23.673583,Bangkok
2025-07-21 06:00:00,29.7,2025-07-19 11:01:20.480093,Bangkok
2025-07-21 05:00:00,30.1,2025-07-19 11:01:20.480093,Bangkok
2025-07-21 05:00:00,28.1,2025-07-18 23:57:23.673583,Bangkok
2025-07-21 04:00:00,27.8,2025-07-18 23:57:23.673583,Bangkok
2025-07-21 04:00:00,30.1,2025-07-19 11:01:20.480093,Bangkok
2025-07-21 03:00:00,28.2,2025-07-18 23:57:23.673583,Bangkok
